iter	Logloss
0	0.6865181226
1	0.6814705495
2	0.6767330813
3	0.6713165112
4	0.6659397168
5	0.6600255645
6	0.6545537456
7	0.6487791083
8	0.6428167365
9	0.6382963202
10	0.6333024529
11	0.6288112683
12	0.6244469975
13	0.619683255
14	0.6161415872
15	0.6108433156
16	0.606930422
17	0.60345609
18	0.5994619305
19	0.5951277915
20	0.5903544908
21	0.586859328
22	0.5827496989
23	0.5789314013
24	0.576009086
25	0.5718656819
26	0.5679474734
27	0.5636881282
28	0.5603998163
29	0.5569226126
30	0.5529626568
31	0.5500593721
32	0.5460753709
33	0.543295871
34	0.5407614976
35	0.5382030787
36	0.5355936543
37	0.5320164541
38	0.5290728794
39	0.5263474282
40	0.5228100466
41	0.5201494881
42	0.5178838151
43	0.5149750013
44	0.5129315666
45	0.5100659145
46	0.50770646
47	0.5052286212
48	0.5031200795
49	0.5011635684
50	0.4990345816
51	0.4966330796
52	0.4953120371
53	0.4926690091
54	0.490322756
55	0.4884889153
56	0.4862141556
57	0.4840765964
58	0.4819515957
59	0.4798598129
60	0.4780461172
61	0.4762407796
62	0.4743378028
63	0.4719631752
64	0.4698215013
65	0.4675084661
66	0.4654946488
67	0.4634536143
68	0.461711112
69	0.4601977488
70	0.4590212361
71	0.4570224633
72	0.455410818
73	0.4534045873
74	0.4514129724
75	0.4501024739
76	0.4483422269
77	0.4467635423
78	0.4450830181
79	0.4436775808
80	0.4418124938
81	0.4403599085
82	0.4393599435
83	0.4380494021
84	0.4368659459
85	0.4358852687
86	0.4353565259
87	0.4341094628
88	0.4328225811
89	0.4312831579
90	0.4299292404
91	0.4293196603
92	0.4279655285
93	0.4274330139
94	0.4262266695
95	0.4250137672
96	0.4238423551
97	0.4224607489
98	0.421180125
99	0.4205553719
100	0.4191588927
101	0.4177407254
102	0.4168336847
103	0.4157045343
104	0.4150019871
105	0.4139982073
106	0.4128985459
107	0.4122322168
108	0.4112688557
109	0.4103943043
110	0.4091294535
111	0.4083805299
112	0.4074404856
113	0.4070927481
114	0.4061157998
115	0.4055501531
116	0.4047060763
117	0.4039482374
118	0.4029892482
119	0.4020963519
120	0.4010273365
121	0.4001683439
122	0.3991134301
123	0.3982838834
124	0.39778823
125	0.3968154393
126	0.395778356
127	0.3950632503
128	0.3946324895
129	0.3940222665
130	0.3930820079
131	0.3922409315
132	0.391556129
133	0.3907392695
134	0.3904037047
135	0.3898796339
136	0.3890704894
137	0.3883240089
138	0.3876360347
139	0.3870129532
140	0.3865116419
141	0.3855282216
142	0.3850443979
143	0.3844600206
144	0.383708911
145	0.3830157076
146	0.3824474035
147	0.3817072665
148	0.3812470168
149	0.3806424945
150	0.3797848734
151	0.379182537
152	0.3786760394
153	0.3780684739
154	0.3777640268
155	0.3774447066
156	0.376949396
157	0.3762971685
158	0.3755699758
159	0.3751969927
160	0.374316312
161	0.373670128
162	0.3732392815
163	0.3731297697
164	0.3724522108
165	0.3719604149
166	0.3714229284
167	0.3709751944
168	0.3705906386
169	0.3701245597
170	0.3699065648
171	0.3695041785
172	0.3690759895
173	0.3684514935
174	0.3677294442
175	0.3672237611
176	0.3664334329
177	0.366146302
178	0.3655255778
179	0.3652305174
180	0.3646953026
181	0.3641579446
182	0.3636074709
183	0.3632592619
184	0.3627048021
185	0.3622338799
186	0.3615990114
187	0.3613338685
188	0.3608206417
189	0.3606377077
190	0.360411569
191	0.3599081147
192	0.3591241301
193	0.3587969662
194	0.3584668663
195	0.3580439707
196	0.3574629151
197	0.3569794558
198	0.3566907818
199	0.3561447658
200	0.3559489947
201	0.3553612313
202	0.3549203337
203	0.354351558
204	0.3539746102
205	0.3534973659
206	0.353219193
207	0.3529632868
208	0.3525919539
209	0.3523507279
210	0.3521249107
211	0.3518155987
